id;name;upper_threshold;lower_threshold;measurement_frequency;type_id;accuracy;asset_id
ad3146a4-a47b-4ad5-aa19-f4ce9ee99204;ACS758-M1.1;16384;0;60;f0889689-8fe0-4cbb-8a38-84f2ebd0a245;;
4b7a0a49-1fdd-4e67-8578-f419c6a96fd7;S1.6;1;0;;;;
40f227f0-df30-4ab6-952e-31b5967b0c42;S1.1;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
a6c5a417-31e8-4cbd-93f2-bc992001ced0;S1.2;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
754114d5-3c04-4926-9c53-3f3739fc5b48;S1.3;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
755d6aa7-e60d-46d9-b5a0-64ba743d8922;S1.4;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
f712012b-d611-4f52-be1b-ed9599119183;S1.5;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
1db52ee7-974f-4bd9-8d29-04e9a2a839fc;S2.1;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
bb75e358-9749-4012-96e9-d1f95c73c838;S2.2;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
43763fbd-823e-4928-8a9d-25a5d1796ba3;S2.3;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
414e03a4-5d3f-4df3-bd51-70f02852c705;S2.4;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
94a3d026-b9e6-45cc-aaec-ee8e1a3d86e5;S2.5;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
0765dc00-4a04-405b-a59d-a06fc07ff7bd;S2.6;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
8bc7a475-9287-4d62-8dba-a72fab605252;S3.1;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
5f1d62cf-c0db-43c2-8f29-6a7a88c966b6;S3.2;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
8b3abc00-ca95-408d-8f82-49826e13ee05;S3.3;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
6dc0e4b9-f402-4176-b7d7-abf2c3a29518;S3.4;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
fe699545-c03d-4e50-bf0c-6a1b37534091;S3.5;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
a3c8fc47-6513-4453-981a-f494a90b057f;S3.6;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
b83620e7-4c2f-487d-afb6-b33da9f126b1;S4.1;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
7f378154-43f0-4804-87c3-91bb6814c08c;S4.2;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
2819fc92-c50d-446b-973a-69a795415183;S4.3;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
e613e7bb-5523-4618-b57e-b567aee5c621;S4.4;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
e892f7f7-116e-4ecf-95d3-79b5ac3f16d2;S4.5;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
04b298b1-dbab-4ad0-8039-74f91bf0679c;S4.6;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
3a4783a6-e430-4c0f-9edc-cb3cc78eee02;S4.7;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
f2100d7b-7b17-41c7-8d5d-8a4cbdb30209;S4.8;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
5bca29af-e129-496d-af7c-3f382d68e871;S4.9;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
c0721011-e63f-44f3-b22c-ff022281a128;S4.10;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
80447975-8bd0-4f0e-9d8c-c708d7b6f341;S4.11;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
aabb51a9-7cc1-486b-8074-a2d60d3a4732;S4.12;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
4f077ca0-d7f6-4cd8-8487-fa4961102d34;S4.13;1;0;;d580ca85-1634-44d3-8d15-c49261d35d3e;;
87545655-3cd2-4a85-bd40-e0f4d42068f4;;;;;;;
